Web Search interest: ebola
United States; Namibia
Past 90 days

Interest over time
Day,United States,Namibia
2014-07-30,9,0
2014-07-31,11,0
2014-08-01,18,86
2014-08-02,22,48
2014-08-03,16,40
2014-08-04,15,40
2014-08-05,19,38
2014-08-06,14,33
2014-08-07,11,36
2014-08-08,10,37
2014-08-09,8,48
2014-08-10,6,58
2014-08-11,5,69
2014-08-12,4,100
2014-08-13,4,27
2014-08-14,3,26
2014-08-15,3,28
2014-08-16,3,33
2014-08-17,3,39
2014-08-18,3,19
2014-08-19,3,31
2014-08-20,5,29
2014-08-21,5,29
2014-08-22,3,24
2014-08-23,2,24
2014-08-24,2,24
2014-08-25,2,24
2014-08-26,2,25
2014-08-27,2,26
2014-08-28,2,27
2014-08-29,2,28
2014-08-30,2,28
2014-08-31,2,29
2014-09-01,2,29
2014-09-02,2,30
2014-09-03,3,31
2014-09-04,2,32
2014-09-05,3,0
2014-09-06,2,0
2014-09-07,2,0
2014-09-08,2,0
2014-09-09,2,0
2014-09-10,2,20
2014-09-11,2,0
2014-09-12,2,0
2014-09-13,2,0
2014-09-14,2,0
2014-09-15,2,0
2014-09-16,3,0
2014-09-17,3,20
2014-09-18,2,24
2014-09-19,3,17
2014-09-20,2,17
2014-09-21,2,17
2014-09-22,2,17
2014-09-23,3,17
2014-09-24,3,25
2014-09-25,3,46
2014-09-26,2,20
2014-09-27,2,23
2014-09-28,4,27
2014-09-29,3,20
2014-09-30,21,21
2014-10-01,37,26
2014-10-02,46,28
2014-10-03,44,27
2014-10-04,34,23
2014-10-05,29,23
2014-10-06,29,23
2014-10-07,24,42
2014-10-08,38,38
2014-10-09,40,34
2014-10-10,28,32
2014-10-11,20,32
2014-10-12,32,32
2014-10-13,36,32
2014-10-14,38,32
2014-10-15,64,28
2014-10-16,70,21
2014-10-17,58,44
2014-10-18,36,30
2014-10-19,26,30
2014-10-20,24,30
2014-10-21,24,30
2014-10-22,18,0
2014-10-23,15,0
2014-10-24,36,0
2014-10-25,16,0
2014-10-26,14,0
2014-10-27,17,0
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Namibia
Subregion,Namibia
Khomas,100
Caprivi,0
Erongo,0
Hardap,0
Karas,0
Kunene,0
Otjozondjupa,0
Omaheke,0
Kavango,0
Oshana,0
Omusati,0
Oshikoto,0
Ohangwena,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Namibia
City,Namibia
Oshakati,100
Windhoek,76



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Namibia
ebola virus,100
ebola namibia,75



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Namibia
ebola namibia,Breakout
ebola virus,Breakout



